,PROVEDORUF,PROVEDOR,UF,STATUS
561,VOLUYCE,VOLUY,CE,BLOQUEADO
562,VOLUYDF,VOLUY,DF,BLOQUEADO
563,VOLUYES,VOLUY,ES,BLOQUEADO
564,VOLUYGO,VOLUY,GO,BLOQUEADO
565,VOLUYMA,VOLUY,MA,BLOQUEADO
566,VOLUYMG,VOLUY,MG,BLOQUEADO
567,VOLUYMS,VOLUY,MS,BLOQUEADO
568,VOLUYMT,VOLUY,MT,BLOQUEADO
569,VOLUYPA,VOLUY,PA,BLOQUEADO
570,VOLUYPB,VOLUY,PB,BLOQUEADO
571,VOLUYPE,VOLUY,PE,BLOQUEADO
572,VOLUYPI,VOLUY,PI,BLOQUEADO
573,VOLUYPR,VOLUY,PR,BLOQUEADO
574,VOLUYRJ,VOLUY,RJ,BLOQUEADO
575,VOLUYRN,VOLUY,RN,BLOQUEADO
576,VOLUYRO,VOLUY,RO,BLOQUEADO
577,VOLUYRR,VOLUY,RR,BLOQUEADO
578,VOLUYRS,VOLUY,RS,BLOQUEADO
579,VOLUYSC,VOLUY,SC,BLOQUEADO
580,VOLUYSE,VOLUY,SE,BLOQUEADO
581,VOLUYSP,VOLUY,SP,BLOQUEADO
582,VOLUYTO,VOLUY,TO,BLOQUEADO
583,VtalAC,Vtal,AC,
584,VtalAL,Vtal,AL,
585,VtalAM,Vtal,AM,
586,VtalAP,Vtal,AP,
587,VtalBA,Vtal,BA,
588,VtalCE,Vtal,CE,
589,VtalDF,Vtal,DF,
590,VtalES,Vtal,ES,
591,VtalGO,Vtal,GO,
592,VtalMA,Vtal,MA,
593,VtalMG,Vtal,MG,
594,VtalMS,Vtal,MS,
595,VtalMT,Vtal,MT,
596,VtalPA,Vtal,PA,
597,VtalPB,Vtal,PB,
598,VtalPE,Vtal,PE,
599,VtalPI,Vtal,PI,
600,VtalPR,Vtal,PR,
601,VtalRJ,Vtal,RJ,
602,VtalRN,Vtal,RN,
603,VtalRO,Vtal,RO,
604,VtalRR,Vtal,RR,
605,VtalRS,Vtal,RS,
606,VtalSC,Vtal,SC,
607,VtalSE,Vtal,SE,
608,VtalTO,Vtal,TO,
609,W3 MEGAMT,W3 MEGA,MT,
610,W3 TELECOMMT,W3 TELECOM,MT,
611,WCSDF,WCS,DF,
612,WCSGO,WCS,GO,
613,WCSMG,WCS,MG,
614,WCSRJ,WCS,RJ,
615,WCSRS,WCS,RS,
616,WCSSP,WCS,SP,
617,WEBFOCOAL,WEBFOCO,AL,
618,WEBFOCOBA,WEBFOCO,BA,
619,WEBFOCOSE,WEBFOCO,SE,
620,WEBFOCOTO,WEBFOCO,TO,
621,WEBFOCO TELECOMAL,WEBFOCO TELECOM,AL,
622,WEBFOCO TELECOMBA,WEBFOCO TELECOM,BA,
623,WEBFOCO TELECOMSE,WEBFOCO TELECOM,SE,
624,WINDXES,WINDX,ES,
625,WKVEBA,WKVE,BA,
626,WKVEES,WKVE,ES,
627,WKVEMA,WKVE,MA,
628,WKVEMG,WKVE,MG,
629,WKVEPA,WKVE,PA,
630,WKVETO,WKVE,TO,
631,WORLDNETPB,WORLDNET,PB,BLOQUEADO
632,WORLDNETPE,WORLDNET,PE,BLOQUEADO
633,YSSY (MTEL)AL,YSSY (MTEL),AL,
634,YSSY (MTEL)AM,YSSY (MTEL),AM,
635,YSSY (MTEL)BA,YSSY (MTEL),BA,
636,YSSY (MTEL)CE,YSSY (MTEL),CE,
637,YSSY (MTEL)DF,YSSY (MTEL),DF,
638,YSSY (MTEL)ES,YSSY (MTEL),ES,
639,YSSY (MTEL)GO,YSSY (MTEL),GO,
640,YSSY (MTEL)MA,YSSY (MTEL),MA,
641,YSSY (MTEL)MG,YSSY (MTEL),MG,
642,YSSY (MTEL)MS,YSSY (MTEL),MS,
643,YSSY (MTEL)MT,YSSY (MTEL),MT,
644,YSSY (MTEL)PA,YSSY (MTEL),PA,
645,YSSY (MTEL)PB,YSSY (MTEL),PB,
646,YSSY (MTEL)PE,YSSY (MTEL),PE,
647,YSSY (MTEL)PI,YSSY (MTEL),PI,
648,YSSY (MTEL)PR,YSSY (MTEL),PR,
649,YSSY (MTEL)RJ,YSSY (MTEL),RJ,
650,YSSY (MTEL)RN,YSSY (MTEL),RN,
651,YSSY (MTEL)RO,YSSY (MTEL),RO,
652,YSSY (MTEL)RS,YSSY (MTEL),RS,
653,YSSY (MTEL)SC,YSSY (MTEL),SC,
654,YSSY (MTEL)SE,YSSY (MTEL),SE,
655,YSSY (MTEL)SP,YSSY (MTEL),SP,
656,YSSY (MTEL)TO,YSSY (MTEL),TO,
657,SITELBRAPA,SITELBRA,PA,
658,SITELBRAAC,SITELBRA,AC,
659,SITELBRACE,SITELBRA,CE,
660,SITELBRAES,SITELBRA,ES,
661,SITELBRAMA,SITELBRA,MA,
662,SITELBRAPB,SITELBRA,PB,
663,SITELBRAPE,SITELBRA,PE,
664,SITELBRARJ,SITELBRA,RJ,
665,SITELBRARS,SITELBRA,RS,BLOQUEADO
666,SITELBRASC,SITELBRA,SC,
667,SITELBRASE,SITELBRA,SE,
668,SITELBRAAP,SITELBRA,AP,
