sequencial;latitude;longitude;uf;cnl;facilidade;id_facilidade;provedor;id_provedor;entrega;abordado;custo_de_acesso_proprio;instalacao_terceiros;mensalidade_terceiros;tipo_terceiros;id_da_sev;prazo;bb_ip;hp_bsod;codigo_spe;sinalizacao_sip;protocolo_gaia;obs;justificativa;ID Justificativa;status;tecnologia
8709624;-19,0138986;-57,6636083;MS;CMA;TERCEIROS ETH;26;IG NETWORKS;146;CPE CM;NAO;;6000;7859;3;1635273;;;;;;11853838;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA CPE CM;FORA DE REDE;1;1;TERCEIROS ETH
8709626;-20,4421506;-54,6180342;MS;CPE;FO EDD ETH;7;CLARO BRASIL;8;CPE CM;NAO;12042;;;;1635274;;111343;;;;11853839;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA CPE CM/CPE CM;;;1;FO EDD FIXA
8709629;-19,9828905;-43,945606;MG;NLA;FO GPON RESID ETH;34;CLARO BRASIL;8;BHE ES;NAO;1328;;;;1635277;;;;;;11853842;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA BHE GM/FABRICANTE HUAWEI CONCENTRADOR OLT BHZBELABOLT01;;;1;GPON RES RESID
8709632;-3,25336207;-52,2491078;PA;ATM;TERCEIROS ETH;26;IG NETWORKS;146;BLM QB;NAO;;6000;7859;3;1635280;;;;;;11853845;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA BLM QB;FORA DE REDE;1;1;TERCEIROS ETH
8709633;-19,9828905;-43,945606;MG;NLA;TERCEIROS ETH;26;IG NETWORKS;146;BHE ES;NAO;;12000;12018;3;1635281;;111344;;;;11853846;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA BHE ES;FORA DE REDE;1;1;TERCEIROS ETH
8709634;-18,889246;-48,2307609;MG;ULA;TERCEIROS ETH;26;ALGAR TELECOM;9;BHE ES;NAO;;2000;2375;3;1635282;;;;;;11853847;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA BHE ES;FORA DE REDE;1;1;TERCEIROS ETH
8709636;-21,0064122;-47,6614181;SP;BRQ;TERCEIROS ETH;26;ALGAR TELECOM;9;SPO IG;NAO;;2000;13471;3;1635284;;111345;;;;11853849;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA SPO IG;FORA DE REDE;1;1;TERCEIROS ETH
8709637;-2,42464727;-54,7861789;PA;SRM;TERCEIROS ETH;26;IG NETWORKS;146;BLM QB;NAO;;6000;9615;3;1635285;;;;;;11853850;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA BLM QB;FORA DE REDE;1;1;TERCEIROS ETH
8709639;-5,37153699;-49,1369433;PA;MBA;TERCEIROS ETH;26;IG NETWORKS;146;BLM QB;NAO;;6000;7859;3;1635287;;;;;;11853852;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA BLM QB;FORA DE REDE;1;1;TERCEIROS ETH
8709644;-16,7047372;-43,8200076;MG;MCL;TERCEIROS ETH;26;IG NETWORKS;146;BHE ES;NAO;;6000;7859;3;1635289;;;;;;11853854;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA BHE ES;FORA DE REDE;1;1;TERCEIROS ETH
8709650;-6,11419198;-50,0010794;PA;PUP;TERCEIROS ETH;26;IG NETWORKS;146;BLM QB;NAO;;6000;7859;3;1635292;;;;;;11853856;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA BLM QB;FORA DE REDE;1;1;TERCEIROS ETH
8709655;-20,5589919;-47,4096091;SP;FAC;TERCEIROS ETH;26;BRFIBRA;127;SPO IG;NAO;;1000;1266,27;3;1635295;;111346;;;;11853859;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA SPO IG;FORA DE REDE;1;1;TERCEIROS ETH
8709657;-20,469685;-54,6209875;MS;CPE;FO EDD DIRETO CLARO;6;CLARO BRASIL;8;CPE CM;NAO;9797;;;;1635297;;111347;;;;11853861;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA MSCPE62/NUVEM MSCPE62 - NUVEM DIRETO CLARO SITE MSCPE62;;;1;FO EDD DC
8709662;-22,9998031;-43,337415;RJ;RJO;FO GPON RESID ETH PRE VIAVEL;50;CLARO BRASIL;8;RJO AM;NAO;10559;;;;1635298;;;;;;11853862;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA RJO EN/FABRICANTE ZTE CONCENTRADOR OLT RJOBTJAYOLT01;;;1;GPON RES RESID PV
8709667;-22,862765;-47,21388;SP;HORT;FO EDD DIRETO CLARO;6;CLARO BRASIL;8;SPO IG;NAO;9797;;;;1635301;;111348;;;;11853865;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA HORT0OG/NUVEM SIHOR01 - NUVEM DIRETO CLARO SITE SIHOR01;;;1;FO EDD DC
8709668;-22,4083839;-48,5640709;SP;JAU;TERCEIROS ETH;26;IG NETWORKS;146;SPO IG;NAO;;8500;11354;3;1635302;;111349;;;;11853872;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA SPO IG;FORA DE REDE;1;1;TERCEIROS ETH
8709672;-25,41876;-49,188766;PR;PNIS;FO SDH;12;CLARO BRASIL;8;CTA MR;NAO;14536;;;;1635304;;111350;;;;11853874;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA PNISSM/PNIS SM_PNIS SM_03_PNIS;;;1;SDH
8709725;-25,4628571;-49,2996297;PR;CTA;FO GPON RESID ETH PRE VIAVEL;50;CLARO BRASIL;8;CTA MR;NAO;10559;;;;1635338;;;;;;11853895;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA CTA NJ/FABRICANTE ZTE CONCENTRADOR OLT CTBCSF23OLT01;;;1;GPON RES RESID PV
8709728;-23,2226563;-47,0317255;SP;ITV;TERCEIROS ETH;26;IG NETWORKS;146;CAS BC;NAO;;3500;3166;3;1635340;;;;;;11853897;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA CAS BC;FORA DE REDE;1;1;TERCEIROS ETH
8709812;-31,3875387;-54,1130411;RS;BGE;TERCEIROS ETH;26;IG NETWORKS;146;PAE BV;NAO;;6000;11731;3;1635403;;;;;;11853904;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA PAE BV;FORA DE REDE;1;1;TERCEIROS ETH
8709822;-20,5050629;-54,5221379;MS;CPE;TERCEIROS ETH;26;IG NETWORKS;146;CPE CM;NAO;;6000;2090;3;1635408;;;;;;11853908;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA CPE CM;FORA DE REDE;1;1;TERCEIROS ETH
8709823;-20,5050629;-54,5221379;MS;CPE;TERCEIROS ETH;26;IG NETWORKS;146;CPE CM;NAO;;6000;2090;3;1635409;;;;;;11853909;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA CPE CM;FORA DE REDE;1;1;TERCEIROS ETH
8709824;-16,7078385;-49,3067748;GO;GNA;FO EDD DIRETO CLARO;6;CLARO BRASIL;8;GNA RD;NAO;9797;;;;1635410;;111351;;;;11853910;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA GNA A59/NUVEM GOGNA56 - NUVEM DIRETO CLARO SITE GOGNA56;;;1;FO EDD DC
8709825;-16,7078385;-49,3067748;GO;GNA;FO EDD DIRETO CLARO;6;CLARO BRASIL;8;GNA RD;NAO;9797;;;;1635411;;111352;;;;11853911;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA GNA A59/NUVEM GOGNA56 - NUVEM DIRETO CLARO SITE GOGNA56;;;1;FO EDD DC
8709828;-3,12785847;-60,0152457;AM;MNS;FO EDD DIRETO CLARO;6;CLARO BRASIL;8;MNS EM;NAO;9797;;;;1635413;;111353;;;;11853912;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA MNS EM/NUVEM AMMNSJ2 - NUVEM DIRETO CLARO SITE AMMNSJ2;;;1;FO EDD DC
8709831;-3,11322051;-60,0241739;AM;MNS;FO GPON RESID ETH PRE VIAVEL;50;CLARO BRASIL;8;MNS EM;NAO;10559;;;;1635414;;;;;;11853913;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA MNS HZ/FABRICANTE ZTE CONCENTRADOR OLT MNSPVGAAOLT01;;;1;GPON RES RESID PV
8709839;-15,5833288;-56,1119539;MT;CBA;FO GPON RESID ETH PRE VIAVEL;50;CLARO BRASIL;8;CBA MC;NAO;10559;;;;1635419;;;;;;11853914;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA CBA MC/FABRICANTE ZTE CONCENTRADOR OLT CBACBAAEOLT01;;;1;GPON RES RESID PV
8709842;-22,70522;-47,64747;SP;PAA;TERCEIROS ETH;26;IG NETWORKS;146;SPO IG;NAO;;8500;15343;3;1635422;;111354;;;;11853916;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA SPO IG;FORA DE REDE;1;1;TERCEIROS ETH
8709845;-16,70452;-49,298925;GO;GNA;FOETHERNET;16;CLARO BRASIL;8;PMJ SO;NAO;12042;;;;1635424;;111355;;;;11853918;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA HE_GOIANIA/SUD02;;;1;FO EDD NET
8709848;-16,7078385;-49,3067748;GO;GNA;FO EDD DIRETO CLARO;6;CLARO BRASIL;8;GNA RD;NAO;9797;;;;1635427;;111356;;;;11853919;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA GNA A59/NUVEM GOGNA56 - NUVEM DIRETO CLARO SITE GOGNA56;;;1;FO EDD DC
8709853;-16,70437;-49,29862;GO;GNA;FO GPON RESID ETH PRE VIAVEL;50;CLARO BRASIL;8;GNA RD;NAO;10559;;;;1635431;;;;;;11853922;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA GNA GC/FABRICANTE ZTE CONCENTRADOR OLT GOISUDAAOLT01;;;1;GPON RES RESID PV
8709855;-25,415585;-49,2416266;PR;CTA;FO GPON RESID ETH PRE VIAVEL;50;CLARO BRASIL;8;CTA MR;NAO;10559;;;;1635432;;;;;;11853923;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA CTA NJ/FABRICANTE ZTE CONCENTRADOR OLT CTBCCE05OLT01;;;1;GPON RES RESID PV
8709857;-23,4329406;-51,4215052;PR;APS;TERCEIROS ETH;26;IG NETWORKS;146;CTA MR;NAO;;6000;11731;3;1635434;;;;;;11853927;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA CTA MR;FORA DE REDE;1;1;TERCEIROS ETH
8709863;-22,8203509;-42,127948;RJ;SPA;TERCEIROS ETH;26;K2 TELECOM;156;RJO EN;NAO;;2500;630;3;1635435;;;;;;11853929;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA RJO EN;FORA DE REDE;1;1;TERCEIROS ETH
8709868;-23,49086;-46,54488;SP;GRS;FO EDD CLARO PRE VIAVEL;5;CLARO BRASIL;8;SPO IG;NAO;9797;;;;1635437;;111357;;;;11853931;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA SPO IG/NUVEM SMGRSM3 - NUVEM PRE VIAVEL SITE SMGRSM3;;;1;FO EDD PV
8709873;-23,503285;-46,832405;SP;BRE;HFC BSOD;19;CLARO BRASIL;8;SPO IG;NAO;726;;;;1635441;;;379066841;;;11853933;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA /BRE197 - HP GED 379066841;;;1;HFC BSOD
8709883;-23,47389;-46,45289;SP;GRS;TERCEIROS ETH;26;BRFIBRA;127;SPO IG;NAO;;1000;1298;3;1635449;;111358;;;;11853936;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA SPO IG;FORA DE REDE;1;1;TERCEIROS ETH
8709887;-23,5704684;-46,6454536;SP;SPO;FO EDD DIRETO CLARO;6;CLARO BRASIL;8;SPO IG;NAO;9797;;;;1635453;;111359;;;;11853937;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA SPO IG/NUVEM SMCON57 - NUVEM DIRETO CLARO SITE SMCON57;;;1;FO EDD DC
8709900;-20,56822;-48,57406;SP;BRS;FO EDD ETH;7;CLARO BRASIL;8;RPO TB;NAO;12042;;;;1635462;;111360;;;;11853939;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA BRS PDF/ANEL BARRETOS 4001_108855;;;1;FO EDD FIXA
8709915;-16,9915237;-49,2288632;GO;HDD;TERCEIROS ETH;26;BRFIBRA;127;SPO IG;NAO;;800;444,4;3;1635471;;;;;;11853942;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA SPO IG;FORA DE REDE;1;1;TERCEIROS ETH
8709918;-16,9915237;-49,2288632;GO;HDD;TERCEIROS ETH;26;BRFIBRA;127;SPO IG;NAO;;800;444,4;3;1635474;;;;;;11853944;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA SPO IG;FORA DE REDE;1;1;TERCEIROS ETH
8709924;-16,9915237;-49,2288632;GO;HDD;TERCEIROS ETH;26;BRFIBRA;127;SPO IG;NAO;;800;454,3;3;1635478;;;;;;11853945;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA SPO IG;FORA DE REDE;1;1;TERCEIROS ETH
8709927;-20,5678932;-48,5851306;SP;BRS;FO GPON RESID ETH;34;CLARO BRASIL;8;SPO IG;NAO;1328;;;;1635480;;;;;;11853947;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA BRS 0F4/FABRICANTE HUAWEI CONCENTRADOR OLT BRSAMEOLT01;;;1;GPON RES MOVEL
8709938;-22,954992;-45,4609906;SP;PBA;FO GPON RESID ETH PRE VIAVEL;50;CLARO BRASIL;8;SPO IG;NAO;10559;;;;1635489;;;;;;11853952;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA PBA WT/FABRICANTE ZTE CONCENTRADOR OLT PBASTNAAOLT01;;;1;GPON RES RESID PV
8709942;-22,8459748;-43,257337;RJ;RJO;FO GPON RESID ETH PRE VIAVEL;50;CLARO BRASIL;8;RJO AM;NAO;10559;;;;1635491;;;;;;11853953;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA RJO EN/FABRICANTE ZTE CONCENTRADOR OLT RJOOLRAAOLT01;;;1;GPON RES RESID PV
8709943;-22,8459748;-43,257337;RJ;RJO;FO GPON RESID ETH PRE VIAVEL;50;CLARO BRASIL;8;RJO AM;NAO;10559;;;;1635492;;;;;;11853954;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA RJO EN/FABRICANTE ZTE CONCENTRADOR OLT RJOOLRAAOLT01;;;1;GPON RES RESID PV
8709949;-21,7536235;-48,261906;SP;ARQ;TERCEIROS ETH;26;IG NETWORKS;146;SPO IG;NAO;;8500;12275;3;1635494;;111361;;;;11853957;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA SPO IG;FORA DE REDE;1;1;TERCEIROS ETH
8709953;-23,554795;-46,586992;SP;SPO;FO EDD CLARO PRE VIAVEL;5;CLARO BRASIL;8;SPO IG;NAO;9797;;;;1635497;;111362;;;;11853960;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA SPO IG/NUVEM SMMOO94 - NUVEM PRE VIAVEL SITE SMMOO94;;;1;FO EDD PV
8709960;-23,4022064;-46,3279821;SP;AUJ;TERCEIROS ETH;26;UPIX - SP;471;SPO IG;NAO;;990;1287;3;1635501;;111363;;;;11853964;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA SPO IG;FORA DE REDE;1;1;TERCEIROS ETH
8709968;-22,89174;-48,45665;SP;BTU;FO GPON RESID ETH;34;CLARO BRASIL;8;SPO IG;NAO;1328;;;;1635509;;;;;;11853967;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA BTU TV/FABRICANTE ZTE CONCENTRADOR OLT BTUJPAABOLT01;;;1;GPON RES RESID
8709971;-22,73185;-47,33333;SP;AMR;FO GPON RESID ETH;34;CLARO BRASIL;8;SPO IG;NAO;1328;;;;1635511;;;;;;11853968;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA AMR HZ/FABRICANTE HUAWEI CONCENTRADOR OLT AMRCTOAAOLT01;;;1;GPON RES RESID
8709977;-20,8245674;-49,4043719;SP;SRR;TERCEIROS ETH;26;IG NETWORKS;146;SPO IG;NAO;;8500;12671;3;1635517;;111364;;;;11853969;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA SPO IG;FORA DE REDE;1;1;TERCEIROS ETH
8709982;-22,22479;-49,9328566;SP;MIA;FO GPON RESID ETH PRE VIAVEL;50;CLARO BRASIL;8;SPO IG;NAO;10559;;;;1635520;;;;;;11853970;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA MIA UOP/FABRICANTE ZTE CONCENTRADOR OLT MIAMLIACOLT01;;;1;GPON RES RESID PV
8709985;-25,57253;-49,21889;PR;SJP;FO EDD ETH;7;CLARO BRASIL;8;SJP CLA;NAO;12042;;;;1635522;;111365;;;;11853971;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA SJP CLA/NUVEM SJP CLA_SJP CLA_03_SJP SITE PRSJP05;;;1;FO EDD MOVEL
8709989;-21,77604;-48,17006;SP;ARQ;FO EDD DIRETO CLARO;6;CLARO BRASIL;8;SPO IG;NAO;9797;;;;1635526;;111366;;;;11853972;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA SPO IG/NUVEM SIARQ22 - NUVEM DIRETO CLARO SITE SIARQ22;;;1;FO EDD DC
8710000;-21,22736;-47,83261;SP;RPO;TERCEIROS ETH;26;MEGATELECOM - SP;555;SPO IG;NAO;;1700;735,3;3;1635535;;111367;;;;11853973;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA SPO IG;FORA DE REDE;1;1;TERCEIROS ETH
8710002;-22,5709859;-47,4084405;SP;LRA;HFC BSOD;19;CLARO BRASIL;8;SPO IG;NAO;726;;;;1635537;;;;;;11853974;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA CAS BC/HUB_LIMEIRA;;;1;HFC BSOD
