sequencial;latitude;longitude;uf;cnl;facilidade;id_facilidade;provedor;id_provedor;entrega;abordado;custo_de_acesso_proprio;instalacao_terceiros;mensalidade_terceiros;tipo_terceiros;id_da_sev;prazo;bb_ip;hp_bsod;codigo_spe;sinalizacao_sip;protocolo_gaia;obs;justificativa;ID Justificativa;status;tecnologia
8710008;-21,2538961;-48,3145346;SP;JAL;FO EDD ETH;7;CLARO BRASIL;8;RPO TB;NAO;12042;;;;1635540;;111368;;;;11853975;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA JAL USA/JAL USA_NUVEM REDE OPTICA DE JABOTICABAL_JAL;;;1;FO EDD FIXA
8710010;-20,7722343;-47,839087;SP;SSI;TERCEIROS ETH;26;ALGAR TELECOM;9;SPO IG;NAO;;2000;6270;3;1635541;;;;;;11853976;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA SPO IG;FORA DE REDE;1;1;TERCEIROS ETH
8710019;-23,4468;-46,61467;SP;SPO;FOETHERNET;16;CLARO BRASIL;8;SPO LP;NAO;9837;;;;1635546;;111369;;;;11853979;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA HUB_VILA MEDEIROS/TREEA;;;1;GPON NET
8710023;-3,11946514;-60,005819;AM;MNS;FO EDD ETH;7;CLARO BRASIL;8;MNS EM;NAO;12042;;;;1635549;;111370;;;;11853982;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA MNS EM/MNS EM;;;1;FO EDD FIXA
8710027;-22,6704058;-50,398988;SP;ASI;TERCEIROS ETH;26;IG NETWORKS;146;SPO IG;NAO;;6000;11731;3;1635553;;;;;;11853986;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA SPO IG;FORA DE REDE;1;1;TERCEIROS ETH
8710033;-22,8367629;-47,0476942;SP;CAS;FO GPON RESID ETH PRE VIAVEL;50;CLARO BRASIL;8;SPO IG;NAO;10559;;;;1635555;;;;;;11853988;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA CAS 2FJ/FABRICANTE HUAWEI CONCENTRADOR OLT CPSMSAAAOLT01;;;1;GPON RES RESID PV
8710035;-22,8367629;-47,0476942;SP;CAS;FO GPON RESID ETH PRE VIAVEL;50;CLARO BRASIL;8;SPO IG;NAO;10559;;;;1635556;;;;;;11853989;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA CAS 2FJ/FABRICANTE HUAWEI CONCENTRADOR OLT CPSMSAAAOLT01;;;1;GPON RES RESID PV
8710040;-21,7532934;-41,3380822;RJ;CPS;FO EDD DIRETO CLARO;6;CLARO BRASIL;8;RJO AM;NAO;9797;;;;1635559;;111371;;;;11853991;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA CPS GGO/NUVEM RJCAM03 - NUVEM DIRETO CLARO SITE RJCAM03;;;1;FO EDD DC
8710041;-22,8597364;-43,7584716;RJ;IGI;TERCEIROS ETH;26;K2 TELECOM;156;RJO EN;NAO;;2500;1710;3;1635560;;111372;;;;11853992;FECHAMENTO NFV FASE 1/PRECO PADRAO/ ESTACAO ENTREGA RJO EN;FORA DE REDE;1;1;TERCEIROS ETH
8710042;-22,2844242;-42,5331239;RJ;NOF;FO EDD ETH;7;CLARO BRASIL;8;NOF 0FB;NAO;12042;;;;1635561;;111373;;;;11853993;FECHAMENTO NFV FASE 1/ ESTACAO ENTREGA NOF 0FB/NUVEM NOF 0FB_NOF0FB_NUVEMOPT_RJO_01 SITE RJNFR01;;;1;FO EDD MOVEL
